Open,High,Low,Close,Adj Close,Volume
160.3300018310547,165.83999633789062,158.6199951171875,162.0399932861328,160.68148803710938,2931600
161.52999877929688,165.97000122070312,161.1199951171875,165.6699981689453,164.2810516357422,1980600
164.61000061035156,171.8000030517578,164.61000061035156,168.72000122070312,167.30548095703125,2686500
172.08999633789062,176.5,171.92999267578125,174.99000549316406,173.52291870117188,2485500
181.3800048828125,182.5500030517578,171.5,175.02999877929688,173.5625762939453,2827900
174.38999938964844,176.4600067138672,171.92999267578125,173.2100067138672,171.75784301757812,3000900
174.2899932861328,179.0,173.22999572753906,176.0800018310547,174.60377502441406,3112100
177.99000549316406,177.99000549316406,176.17999267578125,177.4199981689453,175.9325408935547,1750300
178.6199951171875,181.08999633789062,178.6199951171875,180.0,178.49090576171875,2617400
179.63999938964844,179.83999633789062,168.4499969482422,172.22000122070312,170.77613830566406,3598600
177.30999755859375,178.5,174.5399932861328,175.0,173.53282165527344,2522300
178.86000061035156,180.30999755859375,173.7100067138672,174.49000549316406,173.02711486816406,2590700
176.63999938964844,176.75,171.72999572753906,173.6199951171875,172.16439819335938,2187400
172.57000732421875,175.1699981689453,171.9199981689453,172.3000030517578,170.85545349121094,1974000
176.69000244140625,176.75,171.02999877929688,174.4199981689453,172.95767211914062,2006000
174.4199981689453,174.4600067138672,168.66000366210938,168.75,167.33522033691406,2231100
162.72000122070312,164.42999267578125,156.02000427246094,160.55999755859375,159.21388244628906,3714500
166.52999877929688,166.8000030517578,162.3800048828125,164.3300018310547,162.95228576660156,2484700
164.14999389648438,167.5500030517578,159.80999755859375,160.47000122070312,159.12464904785156,3535400
166.44000244140625,172.44000244140625,166.10000610351562,171.52999877929688,170.0919189453125,4953000
180.0,183.0,170.6999969482422,177.2100067138672,175.72430419921875,6621800
179.99000549316406,181.74000549316406,173.11000061035156,174.10000610351562,172.640380859375,3272600
175.88999938964844,181.4499969482422,175.14999389648438,181.4499969482422,179.9287567138672,2703100
182.9499969482422,184.1300048828125,181.05999755859375,181.99000549316406,180.4642333984375,3031400
184.6999969482422,188.14999389648438,184.0,188.1199951171875,186.54283142089844,2332800
187.35000610351562,188.39999389648438,184.47000122070312,188.0399932861328,186.46348571777344,1702800
191.61000061035156,191.92999267578125,183.38999938964844,187.89999389648438,186.32467651367188,2839800
188.39999389648438,194.75999450683594,188.39999389648438,194.0,192.37353515625,2611700
193.1699981689453,195.88999938964844,190.86000061035156,194.38999938964844,192.76025390625,1671700
199.4600067138672,200.19000244140625,193.69000244140625,195.42999267578125,193.7915496826172,2177800
192.5800018310547,194.94000244140625,187.91000366210938,189.69000244140625,188.0996551513672,2395200
187.5,188.9499969482422,183.0500030517578,185.8800048828125,184.3216094970703,2770100
189.41000366210938,192.75999450683594,188.49000549316406,191.58999633789062,189.98374938964844,2193900
190.8000030517578,192.39999389648438,184.97000122070312,185.61000061035156,184.0538787841797,2407800
183.8699951171875,183.8699951171875,175.3300018310547,181.0800018310547,179.56185913085938,5191300
178.0,186.82000732421875,176.92999267578125,186.2100067138672,184.64886474609375,3161700
186.50999450683594,188.0,178.0500030517578,178.52000427246094,177.0233154296875,3366300
182.0399932861328,184.1699981689453,177.1199951171875,182.5500030517578,181.01953125,2929000
186.52000427246094,187.89999389648438,183.32000732421875,187.3000030517578,185.72970581054688,4355200
189.0,189.75999450683594,182.05999755859375,182.27000427246094,180.74188232421875,2770600
182.60000610351562,184.1699981689453,175.52999877929688,175.99000549316406,174.5145263671875,2418900
173.58999633789062,176.67999267578125,164.19000244140625,167.27999877929688,165.87754821777344,3754500
174.22999572753906,182.05999755859375,166.0399932861328,180.89999389648438,179.38336181640625,5076200
178.82000732421875,183.5800018310547,170.14999389648438,171.0,169.5663604736328,3168600
176.1300048828125,185.24000549316406,175.0,183.82000732421875,182.2788848876953,3687700
186.0399932861328,187.35000610351562,180.22999572753906,180.42999267578125,178.91729736328125,2240200
186.69000244140625,189.49000549316406,185.02999877929688,188.5,186.9196319580078,3206900
184.88999938964844,186.66000366210938,181.7899932861328,183.47000122070312,182.47683715820312,2078000
196.8000030517578,200.0,194.2100067138672,199.91000366210938,198.8278350830078,12102100
201.10000610351562,206.2100067138672,200.63999938964844,202.77999877929688,201.6822967529297,6890100
199.55999755859375,209.58999633789062,199.0,208.33999633789062,207.21218872070312,7321600
204.14999389648438,208.25,197.69000244140625,198.58999633789062,197.5149688720703,8297300
196.35000610351562,204.52999877929688,193.22000122070312,202.0399932861328,200.9462890625,53102200
203.11000061035156,206.1199951171875,196.64999389648438,200.39999389648438,199.31517028808594,5876600
200.11000061035156,200.22999572753906,189.7899932861328,191.6199951171875,190.5826873779297,4748000
193.25,194.50999450683594,187.25,187.27999877929688,186.26620483398438,2893000
182.66000366210938,192.0,182.27999877929688,191.30999755859375,190.27438354492188,3512600
190.7899932861328,199.42999267578125,189.07000732421875,199.0,197.92276000976562,3096200
196.91000366210938,197.66000366210938,191.8800048828125,194.13999938964844,193.0890655517578,2707300
192.38999938964844,198.80999755859375,192.27000427246094,197.77000427246094,196.6994171142578,2324500
200.02000427246094,203.1999969482422,198.0,201.33999633789062,200.2500762939453,2854000
205.27000427246094,208.30999755859375,204.13999938964844,208.0800018310547,206.95361328125,2662800
211.33999633789062,216.42999267578125,209.6300048828125,214.6999969482422,213.53775024414062,2663700
212.61000061035156,214.6999969482422,208.66000366210938,212.91000366210938,211.75746154785156,2177500
211.89999389648438,213.38999938964844,210.25999450683594,212.13999938964844,210.9916229248047,1522500
